url_length,https,subdomain_count,has_ip,hyphen_count,digit_ratio,path_length,has_at_symbol,brand_keyword_count,label
56,1,2,0,0,0.0,34,0,1,0
36,1,2,0,0,0.0,16,0,0,0
56,1,2,0,0,0.0,33,0,0,0
43,1,3,0,1,0.0,18,0,0,0
57,1,2,0,0,0.0,24,0,0,0
33,1,2,0,0,0.0,6,0,0,0
35,1,2,0,0,0.0,9,0,0,0
61,1,2,0,0,0.0,40,0,0,0
49,1,2,0,0,0.0,29,0,0,0
75,1,2,0,0,0.0,51,0,0,0
43,1,2,0,0,0.0,21,0,0,0
53,1,2,0,0,0.067,30,0,0,0
47,1,3,0,0,0.0,24,0,0,0
85,1,2,0,0,0.0,59,0,0,0
88,1,2,0,0,0.0,55,0,0,0
58,1,2,0,0,0.0,35,0,0,0
58,1,3,0,0,0.0,26,0,0,0
66,1,2,0,0,0.0,42,0,0,0
55,1,2,0,0,0.0,33,0,0,0
30,1,2,0,0,0.0,1,0,0,0
75,1,3,0,0,0.0,53,0,0,0
74,1,2,0,0,0.0,50,0,0,0
110,1,2,0,0,0.0,83,0,0,0
88,1,2,0,0,0.0,58,0,0,0
108,1,2,0,0,0.0,80,0,0,0
53,1,3,0,0,0.0,25,0,0,0
39,1,2,0,0,0.0,19,0,0,0
47,1,2,0,0,0.0,23,0,0,0
47,1,2,0,0,0.0,24,0,0,0
29,1,2,0,0,0.0,8,0,0,0
91,1,3,0,0,0.0,26,0,0,0
